,score_beta,threshold_factor,random_parents,threshold_iterations,max_components_to_swap,result,price
0,0.2,0.0,False,3,1,0.7430613830800001,7934.0
1,0.2,0.0,False,3,2,0.73906138308,7812.0
2,0.2,0.0,False,3,3,0.7150613830800001,7944.0
3,0.2,0.0,True,3,1,0.75013364412,7402.0
4,0.2,0.0,True,3,2,0.72681895882,7980.0
5,0.2,0.0,True,3,3,0.72657342656,7510.0
6,0.2,1.0,False,3,1,0.6971623931800001,7597.0
7,0.2,1.0,False,3,2,0.73921367522,7332.0
8,0.2,1.0,False,3,3,0.72504118104,7941.0
9,0.2,1.0,True,3,1,0.7130101010200001,7784.0
10,0.2,1.0,True,3,2,0.72826107228,7521.0
11,0.2,1.0,True,3,3,0.7183356643200001,6172.0
12,0.2,0.5,False,3,1,0.76316239318,7092.0
13,0.2,0.5,False,3,2,0.7270613830800001,7798.0
14,0.2,0.5,False,3,3,0.6920590520600001,7875.0
15,0.2,0.5,True,3,1,0.7230209790200001,7513.0
16,0.2,0.5,True,3,2,0.7139331779400001,7890.0
17,0.2,0.5,True,3,3,0.7004164724,6658.0
18,0.2,0.9,False,3,1,0.74116239318,7458.0
19,0.2,0.9,False,3,2,0.7489774669800001,7405.0
20,0.2,0.9,False,3,3,0.70671794872,7963.0
21,0.2,0.9,True,3,1,0.71473815074,7747.0
22,0.2,0.9,True,3,2,0.7101880342000001,5681.0
23,0.2,0.9,True,3,3,0.6997793317800001,6158.0
24,0.2,0.0,False,5,1,0.7127381507400001,7963.0
25,0.2,0.0,False,5,2,0.7469059829200001,7144.0
26,0.2,0.0,False,5,3,0.7410209790200001,7818.0
27,0.2,0.0,True,5,1,0.710988345,7133.0
28,0.2,0.0,True,5,2,0.72475835276,7623.0
29,0.2,0.0,True,5,3,0.7187785547800001,7769.0
30,0.2,1.0,False,5,1,0.7331623931800001,7618.0
31,0.2,1.0,False,5,2,0.7254700854800001,7089.0
32,0.2,1.0,False,5,3,0.7511623931800001,7252.0
33,0.2,1.0,True,5,1,0.7207536907600001,6689.0
34,0.2,1.0,True,5,2,0.7290815851000001,7480.0
35,0.2,1.0,True,5,3,0.71565811964,5879.0
36,0.2,0.5,False,5,1,0.71692618494,7113.0
37,0.2,0.5,False,5,2,0.72073815074,7948.0
38,0.2,0.5,False,5,3,0.7591623931800001,7368.0
39,0.2,0.5,True,5,1,0.71673815074,7828.0
40,0.2,0.5,True,5,2,0.70969852368,6410.0
41,0.2,0.5,True,5,3,0.70834343436,4216.0
42,0.2,0.9,False,5,1,0.6920792540800002,7771.0
43,0.2,0.9,False,5,2,0.7565982906000001,7419.0
44,0.2,0.9,False,5,3,0.75516239318,7476.0
45,0.2,0.9,True,5,1,0.70547163948,5825.0
46,0.2,0.9,True,5,2,0.72087956488,7848.0
47,0.2,0.9,True,5,3,0.7068997669000001,7805.0
48,0.2,0.0,False,10,1,0.76916239318,7546.0
49,0.2,0.0,False,10,2,0.72873815074,7964.0
50,0.2,0.0,False,10,3,0.7490815851000001,7261.0
51,0.2,0.0,True,10,1,0.70972804974,6701.0
52,0.2,0.0,True,10,2,0.73087956488,7884.0
53,0.2,0.0,True,10,3,0.7230613830800001,7688.0
54,0.2,1.0,False,10,1,0.7366946386800001,7806.0
55,0.2,1.0,False,10,2,0.76916239318,7546.0
56,0.2,1.0,False,10,3,0.7368997669,7997.0
57,0.2,1.0,True,10,1,0.7548997669,7829.0
58,0.2,1.0,True,10,2,0.74100854702,7794.0
59,0.2,1.0,True,10,3,0.74654856256,7785.0
60,0.2,0.5,False,10,1,0.7689572649599999,6876.0
61,0.2,0.5,False,10,2,0.7285982906,7426.0
62,0.2,0.5,False,10,3,0.7310815851000001,7540.0
63,0.2,0.5,True,10,1,0.72487956488,7795.0
64,0.2,0.5,True,10,2,0.7251623931800001,7766.0
65,0.2,0.5,True,10,3,0.7270007770000001,7588.0
66,0.2,0.9,False,10,1,0.73052836052,7845.0
67,0.2,0.9,False,10,2,0.7611623931800001,7488.0
68,0.2,0.9,False,10,3,0.75757264958,7160.0
69,0.2,0.9,True,10,1,0.7136565656400001,6093.0
70,0.2,0.9,True,10,2,0.71018181818,5147.0
71,0.2,0.9,True,10,3,0.72522766122,7785.0
72,0.5,0.0,False,3,1,0.73704118104,7822.0
73,0.5,0.0,False,3,2,0.7051623931800001,7704.0
74,0.5,0.0,False,3,3,0.7274902875000001,7520.0
75,0.5,0.0,True,3,1,0.71673815074,7955.0
76,0.5,0.0,True,3,2,0.7164273504200002,7339.0
77,0.5,0.0,True,3,3,0.71087956488,6909.0
78,0.5,1.0,False,3,1,0.75316239318,7083.0
79,0.5,1.0,False,3,2,0.7317016317000001,7878.0
80,0.5,1.0,False,3,3,0.6931421911600001,7778.0
81,0.5,1.0,True,3,1,0.71175135974,7539.0
82,0.5,1.0,True,3,2,0.7391421911600001,7986.0
83,0.5,1.0,True,3,3,0.73256876458,7503.0
84,0.5,0.5,False,3,1,0.7053892774,7227.0
85,0.5,0.5,False,3,2,0.7359533799600001,7824.0
86,0.5,0.5,False,3,3,0.74245687644,7772.0
87,0.5,0.5,True,3,1,0.70832167834,6900.0
88,0.5,0.5,True,3,2,0.7083869463800001,7645.0
89,0.5,0.5,True,3,3,0.7067381507400001,7436.0
90,0.5,0.9,False,3,1,0.7525982906,6789.0
91,0.5,0.9,False,3,2,0.70087956488,7886.0
92,0.5,0.9,False,3,3,0.7521569541600001,6698.0
93,0.5,0.9,True,3,1,0.70881895882,7375.0
94,0.5,0.9,True,3,2,0.71873815074,7100.0
95,0.5,0.9,True,3,3,0.6996099456000001,6779.0
96,0.5,0.0,False,5,1,0.75116239318,7819.0
97,0.5,0.0,False,5,2,0.7649774669800001,7425.0
98,0.5,0.0,False,5,3,0.7254700854800001,6791.0
99,0.5,0.0,True,5,1,0.71706138308,7556.0
100,0.5,0.0,True,5,2,0.7329401709400001,7483.0
101,0.5,0.0,True,5,3,0.71813675214,6701.0
102,0.5,1.0,False,5,1,0.71977777778,7109.0
103,0.5,1.0,False,5,2,0.7031623931800001,7616.0
104,0.5,1.0,False,5,3,0.7649572649599999,6827.0
105,0.5,1.0,True,5,1,0.7295928516,7029.0
106,0.5,1.0,True,5,2,0.7280357420400001,5472.0
107,0.5,1.0,True,5,3,0.7261367521400001,7130.0
108,0.5,0.5,False,5,1,0.75516239318,7252.0
109,0.5,0.5,False,5,2,0.75490598292,6816.0
110,0.5,0.5,False,5,3,0.7151825952,7794.0
111,0.5,0.5,True,5,1,0.7227381507400001,7913.0
112,0.5,0.5,True,5,2,0.7197995338000001,5146.0
113,0.5,0.5,True,5,3,0.7246946386800001,6500.0
114,0.5,0.9,False,5,1,0.7451623931800001,7545.0
115,0.5,0.9,False,5,2,0.7531623931800001,7025.0
116,0.5,0.9,False,5,3,0.7130815851000001,7789.0
117,0.5,0.9,True,5,1,0.7268189588200001,7491.0
118,0.5,0.9,True,5,2,0.7114700854800001,7879.0
119,0.5,0.9,True,5,3,0.72588034188,6686.0
120,0.5,0.0,False,10,1,0.76695726496,7216.0
121,0.5,0.0,False,10,2,0.74316239318,7467.0
122,0.5,0.0,False,10,3,0.7291623931800001,7857.0
123,0.5,0.0,True,10,1,0.73854856256,6767.0
124,0.5,0.0,True,10,2,0.72887956488,7715.0
125,0.5,0.0,True,10,3,0.71747163948,7237.0
126,0.5,1.0,False,10,1,0.75716239318,7025.0
127,0.5,1.0,False,10,2,0.7590613830800002,7749.0
128,0.5,1.0,False,10,3,0.7245982906,7670.0
129,0.5,1.0,True,10,1,0.74116239318,7595.0
130,0.5,1.0,True,10,2,0.7341165501200001,7015.0
131,0.5,1.0,True,10,3,0.7374312354200001,6397.0
132,0.5,0.5,False,10,1,0.7311421911600001,7922.0
133,0.5,0.5,False,10,2,0.7505982906,6789.0
134,0.5,0.5,False,10,3,0.7641569541600001,7557.0
135,0.5,0.5,True,10,1,0.72947163948,6455.0
136,0.5,0.5,True,10,2,0.7464972805000001,6616.0
137,0.5,0.5,True,10,3,0.73306138308,7391.0
138,0.5,0.9,False,10,1,0.7208997669000001,7818.0
139,0.5,0.9,False,10,2,0.77516239318,7312.0
140,0.5,0.9,False,10,3,0.74116239318,7425.0
141,0.5,0.9,True,10,1,0.7328997669,7611.0
142,0.5,0.9,True,10,2,0.7448562548600001,6056.0
143,0.5,0.9,True,10,3,0.7312152292200002,6665.0
144,0.8,0.0,False,3,1,0.7151623931800001,7595.0
145,0.8,0.0,False,3,2,0.71716239318,7581.0
146,0.8,0.0,False,3,3,0.7113892774,7049.0
147,0.8,0.0,True,3,1,0.72172804974,6703.0
148,0.8,0.0,True,3,2,0.70675835276,6913.0
149,0.8,0.0,True,3,3,0.7319549339400001,5839.0
150,0.8,1.0,False,3,1,0.7511825952000001,7750.0
151,0.8,1.0,False,3,2,0.7201367521400001,7022.0
152,0.8,1.0,False,3,3,0.7471623931800001,7479.0
153,0.8,1.0,True,3,1,0.7546697746800001,7393.0
154,0.8,1.0,True,3,2,0.7350613830800001,7557.0
155,0.8,1.0,True,3,3,0.7077793317800001,6716.0
156,0.8,0.5,False,3,1,0.7611623931800001,7599.0
157,0.8,0.5,False,3,2,0.72474592074,7818.0
158,0.8,0.5,False,3,3,0.76095726496,6317.0
159,0.8,0.5,True,3,1,0.7067583527600001,6699.0
160,0.8,0.5,True,3,2,0.7108997669000001,7911.0
161,0.8,0.5,True,3,3,0.7231825952000001,7558.0
162,0.8,0.9,False,3,1,0.7605982906000001,7023.0
163,0.8,0.9,False,3,2,0.72034188036,7493.0
164,0.8,0.9,False,3,3,0.7291623931800001,7416.0
165,0.8,0.9,True,3,1,0.7107583527600001,7572.0
166,0.8,0.9,True,3,2,0.7187987568,7527.0
167,0.8,0.9,True,3,3,0.7071623931800001,7795.0
168,0.8,0.0,False,5,1,0.7551623931800001,7721.0
169,0.8,0.0,False,5,2,0.74316239318,7425.0
170,0.8,0.0,False,5,3,0.7571623931800001,7660.0
171,0.8,0.0,True,5,1,0.7335928516,6878.0
172,0.8,0.0,True,5,2,0.7111421911600001,7960.0
173,0.8,0.0,True,5,3,0.73195337996,7783.0
174,0.8,1.0,False,5,1,0.71473815074,7909.0
175,0.8,1.0,False,5,2,0.7505982906,6789.0
176,0.8,1.0,False,5,3,0.7251623931800001,7416.0
177,0.8,1.0,True,5,1,0.7495524475600001,7613.0
178,0.8,1.0,True,5,2,0.73238694638,6547.0
179,0.8,1.0,True,5,3,0.76506138308,7971.0
180,0.8,0.5,False,5,1,0.7291623931800001,7505.0
181,0.8,0.5,False,5,2,0.75716239318,7067.0
182,0.8,0.5,False,5,3,0.7540854701,6945.0
183,0.8,0.5,True,5,1,0.71452836052,7680.0
184,0.8,0.5,True,5,2,0.7150815851000001,7262.0
185,0.8,0.5,True,5,3,0.7168997669000001,7480.0
186,0.8,0.9,False,5,1,0.7197979798000002,7616.0
187,0.8,0.9,False,5,2,0.7488997669,7869.0
188,0.8,0.9,False,5,3,0.7541367521400001,6813.0
189,0.8,0.9,True,5,1,0.7166029526000001,7423.0
190,0.8,0.9,True,5,2,0.71947163948,7523.0
191,0.8,0.9,True,5,3,0.73473815074,7807.0
192,0.8,0.0,False,10,1,0.7208997669000001,7835.0
193,0.8,0.0,False,10,2,0.7340870241,7735.0
194,0.8,0.0,False,10,3,0.7290209790200001,7839.0
195,0.8,0.0,True,10,1,0.7239005439,7339.0
196,0.8,0.0,True,10,2,0.7297793317800001,6218.0
197,0.8,0.0,True,10,3,0.7330815851,7467.0
198,0.8,1.0,False,10,1,0.75116239318,7252.0
199,0.8,1.0,False,10,2,0.7471623931800001,7651.0
200,0.8,1.0,False,10,3,0.7228997669000001,7785.0
201,0.8,1.0,True,10,1,0.7428562548600001,5909.0
202,0.8,1.0,True,10,2,0.7514918415,6970.0
203,0.8,1.0,True,10,3,0.73673504272,7580.0
204,0.8,0.5,False,10,1,0.7331623931800001,7500.0
205,0.8,0.5,False,10,2,0.7471623931800001,7580.0
206,0.8,0.5,False,10,3,0.7631623931800001,7495.0
207,0.8,0.5,True,10,1,0.7279549339400001,5643.0
208,0.8,0.5,True,10,2,0.7450815851000001,7711.0
209,0.8,0.5,True,10,3,0.7102408702600002,6869.0
210,0.8,0.9,False,10,1,0.7665982906000001,6671.0
211,0.8,0.9,False,10,2,0.7368997669,7827.0
212,0.8,0.9,False,10,3,0.7591623931800001,6631.0
213,0.8,0.9,True,10,1,0.74251748252,7303.0
214,0.8,0.9,True,10,2,0.7202082362200001,6494.0
215,0.8,0.9,True,10,3,0.7127785547800001,7308.0
